description,link,store,price
"placa de video asus radeon rx 550 phoenix evo, 4gb, gddr5, 128-bit, ph-rx550-4g-evo",https://www.pichau.com.br/placa-de-video-asus-radeon-rx-550-phoenix-evo-4gb-gddr5-128-bit-ph-rx550-4g-evo,Pichau,"789,00"
"placa de video msi geforce gtx 1050 ti gaming x, 4gb, gddr5, 128-bit, 912-v335-001",https://www.pichau.com.br/placa-de-video-msi-geforce-gtx-1050-ti-gaming-x-4gb-gddr5-128-bit-912-v335-001,Pichau,"1.399,98"
"placa de video afox geforce gt220, 1gb, ddr3, 128-bit, af220-1024d3l2",https://www.pichau.com.br/placa-de-video-afox-geforce-gt220-1gb-ddr3-128-bit-af220-1024d3l2,Pichau,"195,90"
"placa de video afox radeon r5 230, 2gb, ddr3, 64-bit, afr5230-2048d3l9-v2",https://www.pichau.com.br/placa-de-video-afox-radeon-r5-230-2gb-ddr3-64-bit-afr5230-2048d3l9-v2,Pichau,"239,90"
"placa de video pny quadro rtx a4000, 16gb, gddr6, 256-bit, vcnrtxa4000-pb-nac",https://www.pichau.com.br/placa-de-video-pny-quadro-rtx-a4000-16gb-gddr6-256-bit-vcnrtxa4000-pb-nac,Pichau,"7.999,21"
"placa de video galax geforce rtx 2060 plus 1-click oc, 12gb, gddr6, 192-bit, 26nrl7hp68nc",https://www.pichau.com.br/placa-de-video-galax-geforce-rtx-2060-plus-1-click-oc-12gb-gddr6-192-bit-26nrl7hp68nc,Pichau,"2.219,90"
"placa de video msi geforce rtx 3050 gaming x, 8gb, gddr6, 128-bit, 312-v397-463",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-3050-gaming-x-8gb-gddr6-128-bit-312-v397-463,Pichau,"2.299,00"
"placa de video msi geforce rtx 3050 ventus 2x, 8gb, gddr6, 128-bit, 912-v397-448",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-3050-ventus-2x-8gb-gddr6-128-bit-912-v397-448,Pichau,"2.199,90"
"placa de video msi geforce gtx 1650 d6 ventus xs ocv1, 4gb, gddr6, 128-bit, 912-v809-4057-nac",https://www.pichau.com.br/placa-de-video-msi-geforce-gtx-1650-d6-ventus-xs-ocv1-4gb-gddr6-128-bit-912-v809-4057-nac,Pichau,"1.847,91"
"placa de video sapphire radeon rx 6750 xt nitro+, 12gb, gddr6, 192-bit, 11318-01-20g",https://www.pichau.com.br/placa-de-video-sapphire-radeon-rx-6750-xt-nitro-12gb-gddr6-192-bit-11318-01-20g,Pichau,"4.499,00"
"placa de video sapphire radeon rx 6950 xt nitro+, 16gb, gddr6, 256-bit, 11317-02-20g",https://www.pichau.com.br/placa-de-video-sapphire-radeon-rx-6950-xt-nitro-16gb-gddr6-256-bit-11317-02-20g,Pichau,"8.999,00"
"placa de video sapphire radeon rx 6750 xt pulse, 12gb, gddr6, 192-bit, 11318-03-20g",https://www.pichau.com.br/placa-de-video-sapphire-radeon-rx-6750-xt-pulse-12gb-gddr6-192-bit-11318-03-20g,Pichau,"4.299,00"
"placa de video sapphire radeon rx 6950 xt nitro+ pure, 16gb, gddr6, 256-bit, 11317-04-20g",https://www.pichau.com.br/placa-de-video-sapphire-radeon-rx-6950-xt-nitro-pure-16gb-gddr6-256-bit-11317-04-20g,Pichau,"9.499,00"
"placa de video afox geforce gt730, 4gb, ddr3, 128-bit, af730-4096d3l6",https://www.pichau.com.br/placa-de-video-afox-geforce-gt730-4gb-ddr3-128-bit-af730-4096d3l6,Pichau,"499,90"
"placa de video msi geforce rtx 3060 ventus 3x oc, lhr, 12gb, gddr6, 192-bit, 912-v397-227-nac",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-3060-ventus-3x-oc-lhr-12gb-gddr6-192-bit-912-v397-227-nac,Pichau,"2.899,00"
"placa de video evga geforce rtx 3070 xc3 black gaming, 8gb, gddr6, 256-bit, 08g-p5-3751-kl",https://www.pichau.com.br/placa-de-video-evga-geforce-rtx-3070-xc3-black-gaming-8gb-gddr6-256-bit-08g-p5-3751-kl,Pichau,"4.499,99"
"placa de video evga geforce rtx 3060 ti xc gaming, lhr, 8gb, gddr6, 256-bit, 08g-p5-3663-kl",https://www.pichau.com.br/placa-de-video-evga-geforce-rtx-3060-ti-xc-gaming-lhr-8gb-gddr6-256-bit-08g-p5-3663-kl,Pichau,"4.459,99"
"placa de video msi geforce rtx 2060 ventus gp oc, 6gb, gddr6, 192-bit, 912-v375-808",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6-192-bit-912-v375-808,Pichau,"1.999,99"
"placa de video msi geforce rtx 2060 ventus gp oc, 6gb, gddr6, 192-bit, 912-v375-665",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6-192-bit-912-v375-665,Pichau,"1.999,99"
"placa de video msi geforce rtx 2060 ventus oc, 12gb, gddr6, 192-bit, 912-v375-684",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-2060-ventus-oc-12gb-gddr6-192-bit-912-v375-684,Pichau,"1.999,99"
"placa de video msi geforce rtx 2060 ventus oc, 12gb, gddr6, 192-bit, 912-v375-689",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-2060-ventus-oc-12gb-gddr6-192-bit-912-v375-689,Pichau,"2.699,08"
"placa de video powercolor radeon rx 6500 xt itx, 4gb, gddr6, 64-bit, axrx-6500xt-4gbd6-dh",https://www.pichau.com.br/placa-de-video-powercolor-radeon-rx-6500-xt-itx-4gb-gddr6-64-bit-axrx-6500xt-4gbd6-dh,Pichau,"1.399,90"
"placa de video powercolor radeon rx 6500 xt  fighter oc, 4gb, gddr6, 64-bit, axrx-6500xt-4gbd6-dh/oc",https://www.pichau.com.br/placa-de-video-powercolor-radeon-rx-6500-xt-fighter-oc-4gb-gddr6-64-bit-axrx-6500xt-4gbd6-dh-oc,Pichau,"1.659,99"
"placa de video powercolor radeon rx 6750 xt red devil oc, 12gb, gddr6, 192-bit, axrx-6750xt-12gbd6-3dhe/oc",https://www.pichau.com.br/placa-de-video-powercolor-radeon-rx-6750-xt-red-devil-oc-12gb-gddr6-192-bit-axrx-6750xt-12gbd6-3dhe-oc,Pichau,"4.189,99"
"placa de video powercolor radeon rx 6950 xt red devil oc, 16gb, gddr6, 256-bit, axrx-6950xt-16gbd6-3dhe/oc",https://www.pichau.com.br/placa-de-video-powercolor-radeon-rx-6950-xt-red-devil-oc-16gb-gddr6-256-bit-axrx-6950xt-16gbd6-3dhe-oc,Pichau,"8.899,00"
"placa de video asus rtx 3070 rog strix v2 gaming, lhr, 8gb, gddr6, 256-bit, rog-strix-rtx3070-8g-v2-gaming",https://www.pichau.com.br/placa-de-video-asus-rtx-3070-rog-strix-v2-gaming-lhr-8gb-gddr6-256-bit-rog-strix-rtx3070-8g-v2-gaming,Pichau,"5.999,99"
"placa de video galax geforce rtx 3070 ex v3 1-click oc, lhr, 8gb, gddr6, 256-bit, 37nsl6md2vxi",https://www.pichau.com.br/placa-de-video-galax-geforce-rtx-3070-ex-v3-1-click-oc-lhr-8gb-gddr6-256-bit-37nsl6md2vxi,Pichau,"4.499,99"
"placa de video msi radeon rx 6950 xt gaming x trio, 16gb, gddr6, 256-bit, 912-v395-041",https://www.pichau.com.br/placa-de-video-msi-radeon-rx-6950-xt-gaming-x-trio-16gb-gddr6-256-bit-912-v395-041,Pichau,"9.199,90"
"placa de video msi radeon rx 6800 gaming x trio, 16gb, gddr6, 256-bit, 912-v396-002",https://www.pichau.com.br/placa-de-video-msi-radeon-rx-6800-gaming-x-trio-16gb-gddr6-256-bit-912-v396-002,Pichau,"6.199,20"
"placa de video msi radeon rx 6750 xt gaming x trio, 12gb, gddr6, 192-bit, 912-v399-001",https://www.pichau.com.br/placa-de-video-msi-radeon-rx-6750-xt-gaming-x-trio-12gb-gddr6-192-bit-912-v399-001,Pichau,"4.799,99"
"placa de video msi radeon rx 6650 xt mech 2x, 8gb, gddr6, 128-bit, 912-v502-062",https://www.pichau.com.br/placa-de-video-msi-radeon-rx-6650-xt-mech-2x-8gb-gddr6-128-bit-912-v502-062,Pichau,"3.449,99"
"placa de video msi radeon rx 6650 xt gaming x, 8gb, gddr6, 128-bit, 912-v502-061",https://www.pichau.com.br/placa-de-video-msi-radeon-rx-6650-xt-gaming-x-8gb-gddr6-128-bit-912-v502-061,Pichau,"3.539,99"
"placa de video msi radeon rx 6600 xt mech 2x, 8gb, gddr6, 128-bit, 912-v502-015",https://www.pichau.com.br/placa-de-video-msi-radeon-rx-6600-xt-mech-2x-8gb-gddr6-128-bit-912-v502-015,Pichau,"2.599,90"
"placa de video sapphire radeon rx 6600 pulse, 8gb, gddr6, 128-bit, 11310-04-20g",https://www.pichau.com.br/placa-de-video-sapphire-radeon-rx-6600-pulse-8gb-gddr6-128-bit-11310-04-20g,Pichau,"2.449,90"
"placa de video gigabyte geforce rtx 3080 aorus xtreme waterforce wb, 12gb, gddr6x, 384-bit, gv-n3080aorusxwb-12gd",https://www.pichau.com.br/placa-de-video-gigabyte-geforce-rtx-3080-aorus-xtreme-waterforce-wb-12gb-gddr6x-384-bit-gv-n3080aorusxwb-12gd,Pichau,"9.239,99"
"placa de video gigabyte geforce gt 730, 2gb, ddr3, 64-bit, gv-n730d3-2gi-rev3.0",https://www.pichau.com.br/placa-de-video-gigabyte-geforce-gt-730-2gb-ddr3-64-bit-gv-n730d3-2gi-rev3-0,Pichau,"499,00"
"placa de video asus radeon rx 550 phoenix evo, 4gb, gddr5, 128-bit, ph-rx550-4g-evo",https://www.pichau.com.br/placa-de-video-asus-radeon-rx-550-phoenix-evo-4gb-gddr5-128-bit-ph-rx550-4g-evo,Pichau,"789,00"
"placa de video gigabyte radeon rx 6750 xt aorus elite, 12gb, gddr6, 192-bit, gv-r675xtaoruse-12gd",https://www.pichau.com.br/placa-de-video-gigabyte-radeon-rx-6750-xt-aorus-elite-12gb-gddr6-192-bit-gv-r675xtaoruse-12gd,Pichau,"5.859,99"
"placa de video gigabyte radeon rx 6750 xt gaming oc, 12gb, gddr6, 192-bit, gv-r675xtgamingoc-12gd",https://www.pichau.com.br/placa-de-video-gigabyte-radeon-rx-6750-xt-gaming-oc-12gb-gddr6-192-bit-gv-r675xtgamingoc-12gd,Pichau,"5.569,99"
"placa de video gigabyte radeon rx 6650 xt eagle, 8gb, gddr6, 128-bit, gv-r665xteagle-8gd",https://www.pichau.com.br/placa-de-video-gigabyte-radeon-rx-6650-xt-eagle-8gb-gddr6-128-bit-gv-r665xteagle-8gd,Pichau,"3.799,90"
"placa de video gigabyte radeon rx 6650 xt gaming oc, 8gb, gddr6, 128-bit, gv-r665xtgamingoc-8gd",https://www.pichau.com.br/placa-de-video-gigabyte-radeon-rx-6650-xt-gaming-oc-8gb-gddr6-128-bit-gv-r665xtgamingoc-8gd,Pichau,"3.879,90"
"placa de video gigabyte geforce rtx 3090 ti gaming oc, 24gb, gddr6x, 384-bit, gv-n309tgamingoc-24gd",https://www.pichau.com.br/placa-de-video-gigabyte-geforce-rtx-3090-ti-gaming-oc-24gb-gddr6x-384-bit-gv-n309tgamingoc-24gd,Pichau,"17.375,99"
"placa de video gigabyte geforce rtx 3090 ti gaming, 24gb, gddr6x, 384-bit, gv-n309tgaming-24gd",https://www.pichau.com.br/placa-de-video-gigabyte-geforce-rtx-3090-ti-gaming-24gb-gddr6x-384-bit-gv-n309tgaming-24gd,Pichau,"15.819,99"
"placa de video galax geforce rtx 2060 plus 1-click oc, 6gb, gddr6, 192-bit, 26nrl7hp68cx",https://www.pichau.com.br/placa-de-video-galax-geforce-rtx-2060-plus-1-click-oc-6gb-gddr6-192-bit-26nrl7hp68cx,Pichau,"2.199,99"
"placa de video pny quadro t1000, 4gb, gddr6, 128-bit, vcnt1000-pb",https://www.pichau.com.br/placa-de-video-pny-quadro-t1000-4gb-gddr6-128-bit-vcnt1000-pb,Pichau,"2.059,90"
"placa de video msi geforce rtx 3060 ventus 2x oc, 12gb, gddr6, 192-bit, 912-v397-484",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-3060-ventus-2x-oc-12gb-gddr6-192-bit-912-v397-484,Pichau,"3.599,90"
"placa de video msi geforce gtx 1660 super gaming x, 6gb, gddr6, 192-bit, 912-v375-446",https://www.pichau.com.br/placa-de-video-msi-geforce-gtx-1660-super-gaming-x-6gb-gddr6-192-bit-912-v375-446,Pichau,"2.979,99"
"placa de video msi geforce rtx 3070 ti ventus 3x oc, 8gb, gddr6x, 256-bit, 912-v505-007",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-3070-ti-ventus-3x-oc-8gb-gddr6x-256-bit-912-v505-007,Pichau,"5.499,00"
"placa de video msi geforce rtx 3080 ventus 3x plus, lhr, 10gb, gddr6x, 320-bit, 912-v389-263",https://www.pichau.com.br/placa-de-video-msi-geforce-rtx-3080-ventus-3x-plus-lhr-10gb-gddr6x-320-bit-912-v389-263,Pichau,"6.999,90"
"placa de video asus geforce rtx 3070 dual, lhr, 8gb, gddr6, 256-bit, dual-rtx3070-8g-v2",https://www.pichau.com.br/placa-de-video-asus-geforce-rtx-3070-dual-lhr-8gb-gddr6-256-bit-dual-rtx3070-8g-v2,Pichau,"4.899,99"
