description,link,store,price
"placa de vídeo zotac gaming geforce rtx 3060 twin edge - 15 gbps, 12gb, gddr6, ray tracing - zt-a30600e-10m",https://www.kabum.com.br/produto/148656/placa-de-video-zotac-gaming-geforce-rtx-3060-twin-edge-15-gbps-12gb-gddr6-ray-tracing-zt-a30600e-10m,Kabum,"3.199,90"
"placa de vídeo gigabyte nvidia geforce rtx 2060 d6 6g, gddr6 - gv-n2060d6-6gd",https://www.kabum.com.br/produto/115571/placa-de-video-gigabyte-nvidia-geforce-rtx-2060-d6-6g-gddr6-gv-n2060d6-6gd,Kabum,"2.099,90"
"placa de vídeo zotac gaming nvidia geforce rtx 2060, 6gb, gddr6 - zt-t20600h-10m",https://www.kabum.com.br/produto/110397/placa-de-video-zotac-gaming-nvidia-geforce-rtx-2060-6gb-gddr6-zt-t20600h-10m,Kabum,"1.969,90"
"placa de vídeo zotac nvidia geforce rtx 3070 ti trinity lhr, 19 gbps, 8gb gddr6x, ray tracing, dlss, rgb - zt-a30710d-10p",https://www.kabum.com.br/produto/166105/placa-de-video-zotac-nvidia-geforce-rtx-3070-ti-trinity-lhr-19-gbps-8gb-gddr6x-ray-tracing-dlss-rgb-zt-a30710d-10p,Kabum,"4.199,90"
"placa de vídeo zotac nvidia geforce rtx 3060 ti twin edge lhr, 8gb, 14.0 gbps, gddr6, dlss, ray tracing - zt-a30610e-10mlhr",https://www.kabum.com.br/produto/166104/placa-de-video-zotac-nvidia-geforce-rtx-3060-ti-twin-edge-lhr-8gb-14-0-gbps-gddr6-dlss-ray-tracing-zt-a30610e-10mlhr,Kabum,"3.599,90"
"placa de vídeo asus nvidia geforce rtx 3050 oc, 8gb, gddr6, ray tracing -  90yv0hh0-m0na00",https://www.kabum.com.br/produto/298405/placa-de-video-asus-nvidia-geforce-rtx-3050-oc-8gb-gddr6-ray-tracing-90yv0hh0-m0na00,Kabum,"2.399,90"
"placa de vídeo asus nvidia geforce dual rtx3060 o12g v2, lhr, 15 gbps, 12gb gddr6, ray tracing, dlss - 90yv0gb2-m0na10",https://www.kabum.com.br/produto/164854/placa-de-video-asus-nvidia-geforce-dual-rtx3060-o12g-v2-lhr-15-gbps-12gb-gddr6-ray-tracing-dlss-90yv0gb2-m0na10,Kabum,"2.929,90"
"placa de vídeo xfx speedster swft 210 amd radeon rx 6600 core gaming graphics card, 8gb gddr6, amd rdna 2 - rx-66xl8lfdq",https://www.kabum.com.br/produto/261040/placa-de-video-xfx-speedster-swft-210-amd-radeon-rx-6600-core-gaming-graphics-card-8gb-gddr6-amd-rdna-2-rx-66xl8lfdq,Kabum,"2.199,90"
"placa de vídeo duex amd radeon rx 550, 4gb, ddr5 - dxrx5504gb",https://www.kabum.com.br/produto/255155/placa-de-video-duex-amd-radeon-rx-550-4gb-ddr5-dxrx5504gb,Kabum,"729,90"
"placa de vídeo xfx speedster swft210 amd radeon rx 6600 xt, 8gb gddr6, 16gbps, amd rdna 2 architecture - rx-66xt8dfdq",https://www.kabum.com.br/produto/187640/placa-de-video-xfx-speedster-swft210-amd-radeon-rx-6600-xt-8gb-gddr6-16gbps-amd-rdna-2-architecture-rx-66xt8dfdq,Kabum,"3.799,90"
"placa de vídeo asus nvidia geforce gtx 1050 ti oc cerberus 4gb, gddr5 - cerberus-gtx1050ti-o4g",https://www.kabum.com.br/produto/95459/placa-de-video-asus-nvidia-geforce-gtx-1050-ti-oc-cerberus-4gb-gddr5-cerberus-gtx1050ti-o4g,Kabum,"1.399,90"
"placa de vídeo gigabyte nvidia geforce rtx 3070 ti gaming oc lhr, rgb, 8g, gddr6x, dlss, ray tracing - gv-n307tgaming oc-8gd",https://www.kabum.com.br/produto/167207/placa-de-video-gigabyte-nvidia-geforce-rtx-3070-ti-gaming-oc-lhr-rgb-8g-gddr6x-dlss-ray-tracing-gv-n307tgaming-oc-8gd,Kabum,"4.499,90"
"placa de vídeo asus nvidia geforce tuf gtx 1660 super o6g gaming oc, 6gb gddr6, ip5x, preto",https://www.kabum.com.br/produto/211056/placa-de-video-asus-nvidia-geforce-tuf-gtx-1660-super-o6g-gaming-oc-6gb-gddr6-ip5x-preto,Kabum,"1.849,90"
placa de vídeo zotac gaming geforce nvidia gtx 1660 twin fan 6gb gddr5 - zt-t16600m-10m,https://www.kabum.com.br/produto/158629/placa-de-video-zotac-gaming-geforce-nvidia-gtx-1660-twin-fan-6gb-gddr5-zt-t16600m-10m,Kabum,"1.799,90"
"placa de vídeo evga geforce rtx 3070 ti  ftw3 ultra gaming lhr, 8gb gddr6x, ray tracing, dlss, argb - 08g-p5-3797-kl",https://www.kabum.com.br/produto/164649/placa-de-video-evga-geforce-rtx-3070-ti-ftw3-ultra-gaming-lhr-8gb-gddr6x-ray-tracing-dlss-argb-08g-p5-3797-kl,Kabum,"4.999,90"
"placa de vídeo asus amd radeon rx 6700 xt, 16 gbps, 12gb gddr6 - tuf-rx6700xt-o12g-gaming",https://www.kabum.com.br/produto/150480/placa-de-video-asus-amd-radeon-rx-6700-xt-16-gbps-12gb-gddr6-tuf-rx6700xt-o12g-gaming,Kabum,"5.499,90"
"placa de vídeo sapphire amd radeon rx 550 pulse 4g, gddr5 - 11268-01-20g",https://www.kabum.com.br/produto/89279/placa-de-video-sapphire-amd-radeon-rx-550-pulse-4g-gddr5-11268-01-20g,Kabum,"729,90"
"placa de vídeo zotac nvidia geforce rtx 3080 trinity lhr, 10gb, 19 gbps, gddr6x, ray tracing, dlss, rgb - zt-a30800d-10plhr",https://www.kabum.com.br/produto/166106/placa-de-video-zotac-nvidia-geforce-rtx-3080-trinity-lhr-10gb-19-gbps-gddr6x-ray-tracing-dlss-rgb-zt-a30800d-10plhr,Kabum,"8.499,90"
"placa de vídeo power color amd radeon rx 6500 xt itx, 4gb gddr6, ray tracing - axrx 6500 xt 4gbd6-dh",https://www.kabum.com.br/produto/308222/placa-de-video-power-color-amd-radeon-rx-6500-xt-itx-4gb-gddr6-ray-tracing-axrx-6500-xt-4gbd6-dh,Kabum,"1.659,90"
"placa de vídeo asus tuf rtx 3060 o12g v2 gaming lhr, 15 gbps, 12gb gddr6, rgb, ray tracing, dlss - 90yv0gc0-m0na10",https://www.kabum.com.br/produto/172233/placa-de-video-asus-tuf-rtx-3060-o12g-v2-gaming-lhr-15-gbps-12gb-gddr6-rgb-ray-tracing-dlss-90yv0gc0-m0na10,Kabum,"3.299,90"
"placa de vídeo duex nvidia geforce gtx 750 ti, 4gb, ddr5 - dxgtx750ti4gd5",https://www.kabum.com.br/produto/271544/placa-de-video-duex-nvidia-geforce-gtx-750-ti-4gb-ddr5-dxgtx750ti4gd5,Kabum,"949,90"
"placa de vídeo asus nvidia geforce rog strix rtx 3060 o12g v2 gaming oc edition, 12gb gddr6, dlss, ray tracing - 90yv0gc2-m0na10",https://www.kabum.com.br/produto/193077/placa-de-video-asus-nvidia-geforce-rog-strix-rtx-3060-o12g-v2-gaming-oc-edition-12gb-gddr6-dlss-ray-tracing-90yv0gc2-m0na10,Kabum,"3.399,90"
"placa de vídeo gigabyte nvidia geforce rtx 3080, 10gb, gddr6x - gv-n3080gaming oc-10gd",https://www.kabum.com.br/produto/128077/placa-de-video-gigabyte-nvidia-geforce-rtx-3080-10gb-gddr6x-gv-n3080gaming-oc-10gd,Kabum,"5.999,90"
"placa de vídeo evga nvidia geforce rtx 3050 xc gaming, 8gb gddr6, lhr, dlss, ray tracing - 08g-p5-3553-kr",https://www.kabum.com.br/produto/306130/placa-de-video-evga-nvidia-geforce-rtx-3050-xc-gaming-8gb-gddr6-lhr-dlss-ray-tracing-08g-p5-3553-kr,Kabum,"2.299,90"
"placa de vídeo asus dual nvidia geforce gtx 1650 4gb, gddr5 - dual-gtx1650-4g",https://www.kabum.com.br/produto/102274/placa-de-video-asus-dual-nvidia-geforce-gtx-1650-4gb-gddr5-dual-gtx1650-4g,Kabum,"1.599,90"
"placa de vídeo asus tuf gaming nvidia geforce gtx 1660 ti o6g evo oc, 6gb gddr6, preto - 90yv0ct7-m0na00",https://www.kabum.com.br/produto/270812/placa-de-video-asus-tuf-gaming-nvidia-geforce-gtx-1660-ti-o6g-evo-oc-6gb-gddr6-preto-90yv0ct7-m0na00,Kabum,"1.899,90"
"placa de vídeo msi geforce rtx 3060 ventus 2x 12g oc, 15 gbps, 12gb gddr6, ray tracing",https://www.kabum.com.br/produto/153454/placa-de-video-msi-geforce-rtx-3060-ventus-2x-12g-oc-15-gbps-12gb-gddr6-ray-tracing,Kabum,"2.799,90"
